year,industry_code,value
1989.0,4451  4453,39200.0
1989.0,4461,10900.0
1989.0,4471,12000.0
1989.0,4481  4483,16900.0
1989.0,4511  4513,11200.0
1989.0,4521  4529,35600.0
1989.0,4531  4539,12000.0
1989.0,4541  4543,8500.0
1989.0,4811  4931,90700.0
1989.0,4811  4922,88100.0
1989.0,4811  4812,12400.0
1989.0,4821,10800.0
1989.0,4831  4832,5700.0
1989.0,4841  4842,22500.0
1989.0,4851  4859,9300.0
1989.0,4861  4869,
1989.0,"4871  4879 , 4881  4889",10600.0
1989.0,4911,10900.0
1989.0,4921  4922,5300.0
1989.0,4931,2700.0
1989.0,5211  5331,98700.0
1989.0,"5211, 5221  5223",39200.0
1989.0,5231  5239,7300.0
1989.0,"5241  5242, 5261  5269",16900.0
1989.0,5311  5313,27300.0
1989.0,"5321  5324, 5331",7900.0
1989.0,5411  5419,82400.0
1989.0,5411,14400.0
1989.0,5412,13600.0
1989.0,5413  5414,24300.0
1989.0,5415,7500.0
1989.0,5416  5417,9200.0
1989.0,5418,7000.0
1989.0,5419,6400.0
1989.0,5511  5629,35400.0
1989.0,5613,2600.0
1989.0,5614,3500.0
1989.0,5615,3200.0
1989.0,5616,5800.0
1989.0,5617,15400.0
1989.0,"5511, 5611  5612, 5619",3200.0
1989.0,5621  5629,1700.0
1989.0,6111  6117,88200.0
1989.0,6111,57600.0
1989.0,6112,9600.0
1989.0,6113,14900.0
1989.0,6114  6117,6100.0
1989.0,6211  6244,138100.0
1989.0,6211  6219,33900.0
1989.0,6220,57000.0
1989.0,6230,19000.0
1989.0,6241  6244,28300.0
1989.0,"5111  5191, 7111  7139",68400.0
1989.0,"5111  5112, 5161",8900.0
1989.0,5121  5122,4000.0
1989.0,"5151  5152, 5171  5179",25000.0
1989.0,5181  5191,4400.0
1989.0,7111  7115,11400.0
1989.0,7121,2300.0
1989.0,7131  7139,12500.0
1989.0,7211  7225,113400.0
1989.0,7211  7213,29900.0
1989.0,7221  7224,83400.0
1989.0,8111  8141,76700.0
1989.0,8111  8114,27800.0
1989.0,8121  8129,19100.0
1989.0,8131  8139,17200.0
1989.0,8141,12500.0
1989.0,9110  9191,81900.0
1989.0,"9110, 9111",28700.0
1989.0,9120,24300.0
1989.0,"9130, 9141, 9191",28900.0
1990.0,0,1559600.0
1990.0,"11,21,22,23,31,32,33",389000.0
1990.0,"1100  1129, 1151  1152",28100.0
1990.0,1111  1119,11300.0
1990.0,1121  1129,14300.0
1990.0,1100,
1990.0,1151  1152,
1990.0,"1131  1142, 1153, 2100  2131",52100.0
1990.0,"1131  1133, 1153",26300.0
1990.0,1141  1142,6900.0
1990.0,2100  2131,18900.0
1990.0,2111,
1990.0,"2121  2123, 2100",12400.0
1990.0,2131,5100.0
1990.0,2211  2213,12500.0
1990.0,2361  2389,119700.0
1990.0,23612362,34900.0
1990.0,2361,27300.0
1990.0,2362,7600.0
1990.0,23712379,12900.0
1990.0,2371,2500.0
1990.0,2372,
1990.0,2373,7800.0
1990.0,2379,1500.0
1990.0,2381  2389,71800.0
1990.0,2381,15300.0
1990.0,2382,26600.0
1990.0,2383,17000.0
1990.0,2389,12900.0
1990.0,3111  3399,176600.0
1990.0,3111  3119,16500.0
1990.0,3121  3122,4800.0
1990.0,"3131  3133, 3141  3149",2200.0
1990.0,"3151  3159, 3161  3169",5000.0
1990.0,3211  3219,48700.0
1990.0,3221  3222,19300.0
1990.0,3231,6800.0
1990.0,3241,1800.0
1990.0,3251  3259,4600.0
1990.0,3261  3262,4400.0
1990.0,3271  3279,5200.0
1990.0,3311  3315,11600.0
1990.0,3321  3329,10200.0
1990.0,3331  3339,6800.0
1990.0,3341  3346,6200.0
1990.0,3351  3359,2500.0
1990.0,3361  3369,9500.0
1990.0,3361  3363,3000.0
1990.0,3364  3369,6500.0
1990.0,3371  3379,4600.0
1990.0,3391  3399,5800.0
1990.0,"3211  3219, 3271  3279, 3311  3399",111200.0
1990.0,"3111  3169, 3221  3262",65300.0
1990.0,41 & over,1170600.0
1990.0,4111  4543,264700.0
1990.0,4111  4191,52900.0
1990.0,4111,
1990.0,4121,1500.0
1990.0,4131  4133,9800.0
1990.0,4141  4145,6900.0
1990.0,4151  4153,4500.0
1990.0,4161  4163,6500.0
1990.0,4171  4179,14900.0
1990.0,"4181  4189, 4191",7600.0
1990.0,4411  4543,211800.0
1990.0,4411  4413,22700.0
1990.0,4421  4422,9600.0
1990.0,4431,7700.0
1990.0,4441  4442,12600.0
1990.0,4451  4453,47800.0
1990.0,4461,13100.0
1990.0,4471,13900.0
1990.0,4481  4483,24700.0
1990.0,4511  4513,8900.0
1990.0,4521  4529,26500.0
1990.0,4531  4539,16100.0
1990.0,4541  4543,8200.0
1990.0,4811  4931,91900.0
1990.0,4811  4922,89900.0
1990.0,4811  4812,15800.0
1990.0,4821,10600.0
1990.0,4831  4832,6100.0
1990.0,4841  4842,21900.0
1990.0,4851  4859,11000.0
1990.0,4861  4869,
1990.0,"4871  4879 , 4881  4889",9900.0
1990.0,4911,8600.0
1990.0,4921  4922,5300.0
1990.0,4931,2000.0
1990.0,5211  5331,102100.0
1990.0,"5211, 5221  5223",35300.0
1990.0,5231  5239,8000.0
1990.0,"5241  5242, 5261  5269",20400.0
1990.0,5311  5313,33100.0
1990.0,"5321  5324, 5331",5300.0
1990.0,5411  5419,87600.0
1990.0,5411,17700.0
1990.0,5412,15200.0
1990.0,5413  5414,26800.0
1990.0,5415,7800.0
1990.0,5416  5417,7700.0
1990.0,5418,6000.0
1990.0,5419,6400.0
1990.0,5511  5629,37100.0
1990.0,5613,3600.0
1990.0,5614,2500.0
1990.0,5615,4100.0
1990.0,5616,4900.0
1990.0,5617,17800.0
1990.0,"5511, 5611  5612, 5619",2400.0
1990.0,5621  5629,1800.0
1990.0,6111  6117,89000.0
1990.0,6111,56400.0
1990.0,6112,9100.0
1990.0,6113,16500.0
1990.0,6114  6117,7000.0
1990.0,6211  6244,148800.0
1990.0,6211  6219,35500.0
1990.0,6220,58800.0
1990.0,6230,23100.0
1990.0,6241  6244,31400.0
1990.0,"5111  5191, 7111  7139",68700.0
1990.0,"5111  5112, 5161",8200.0
1990.0,5121  5122,3200.0
1990.0,"5151  5152, 5171  5179",25100.0
1990.0,5181  5191,4600.0
1990.0,7111  7115,10900.0
1990.0,7121,1700.0
1990.0,7131  7139,14900.0
1990.0,7211  7225,115200.0
1990.0,7211  7213,33900.0
1990.0,7221  7224,81300.0
1990.0,8111  8141,75600.0
1990.0,8111  8114,26500.0
1990.0,8121  8129,21500.0
1990.0,8131  8139,14500.0
1990.0,8141,13100.0
1990.0,9110  9191,89900.0
1990.0,"9110, 9111",32300.0
1990.0,9120,27300.0
1990.0,"9130, 9141, 9191",30300.0
1991.0,0,1577500.0
1991.0,"11,21,22,23,31,32,33",377700.0
1991.0,"1100  1129, 1151  1152",30300.0
1991.0,1111  1119,14600.0
1991.0,1121  1129,13600.0
1991.0,1100,
1991.0,1151  1152,
1991.0,"1131  1142, 1153, 2100  2131",51400.0
1991.0,"1131  1133, 1153",26800.0
1991.0,1141  1142,6700.0
1991.0,2100  2131,17900.0
1991.0,2111,2000.0
1991.0,"2121  2123, 2100",12500.0
1991.0,2131,3400.0
1991.0,2211  2213,12400.0
1991.0,2361  2389,113200.0
1991.0,23612362,32900.0
1991.0,2361,25500.0
1991.0,2362,7400.0
1991.0,23712379,15100.0
1991.0,2371,3000.0
1991.0,2372,2100.0
1991.0,2373,8700.0
1991.0,2379,
1991.0,2381  2389,65100.0
1991.0,2381,15100.0
1991.0,2382,20200.0
1991.0,2383,15800.0
1991.0,2389,14100.0
1991.0,3111  3399,170500.0
1991.0,3111  3119,16800.0
1991.0,3121  3122,5200.0
1991.0,"3131  3133, 3141  3149",
1991.0,"3151  3159, 3161  3169",6100.0
1991.0,3211  3219,43200.0
1991.0,3221  3222,20200.0
1991.0,3231,6400.0
1991.0,3241,2000.0
1991.0,3251  3259,4100.0
1991.0,3261  3262,3300.0
1991.0,3271  3279,6900.0
1991.0,3311  3315,9800.0
1991.0,3321  3329,10900.0
1991.0,3331  3339,6300.0
1991.0,3341  3346,4800.0
1991.0,3351  3359,4300.0
1991.0,3361  3369,9300.0
1991.0,3361  3363,4000.0
1991.0,3364  3369,5300.0
1991.0,3371  3379,4300.0
1991.0,3391  3399,5500.0
1991.0,"3211  3219, 3271  3279, 3311  3399",105100.0
1991.0,"3111  3169, 3221  3262",65400.0
1991.0,41 & over,1199800.0
1991.0,4111  4543,259400.0
1991.0,4111  4191,54400.0
1991.0,4111,
1991.0,4121,1500.0
1991.0,4131  4133,11300.0
1991.0,4141  4145,8000.0
1991.0,4151  4153,2100.0
1991.0,4161  4163,9300.0
1991.0,4171  4179,13100.0
1991.0,"4181  4189, 4191",8000.0
1991.0,4411  4543,205000.0
1991.0,4411  4413,25700.0
1991.0,4421  4422,7400.0
1991.0,4431,10100.0
1991.0,4441  4442,11400.0
1991.0,4451  4453,41500.0
1991.0,4461,12100.0
1991.0,4471,13500.0
1991.0,4481  4483,20200.0
1991.0,4511  4513,10900.0
1991.0,4521  4529,28700.0
1991.0,4531  4539,15100.0
1991.0,4541  4543,8400.0
1991.0,4811  4931,97300.0
1991.0,4811  4922,93800.0
1991.0,4811  4812,14700.0
1991.0,4821,12900.0
1991.0,4831  4832,6300.0
1991.0,4841  4842,24200.0
1991.0,4851  4859,12300.0
1991.0,4861  4869,
1991.0,"4871  4879 , 4881  4889",10400.0
1991.0,4911,6700.0
1991.0,4921  4922,5400.0
1991.0,4931,3600.0
1991.0,5211  5331,103600.0
1991.0,"5211, 5221  5223",36900.0
1991.0,5231  5239,6400.0
1991.0,"5241  5242, 5261  5269",26100.0
1991.0,5311  5313,26200.0
1991.0,"5321  5324, 5331",7900.0
1991.0,5411  5419,93900.0
1991.0,5411,15400.0
1991.0,5412,14200.0
1991.0,5413  5414,28200.0
1991.0,5415,10300.0
1991.0,5416  5417,10300.0
1991.0,5418,10300.0
1991.0,5419,5200.0
1991.0,5511  5629,38800.0
1991.0,5613,3200.0
1991.0,5614,4800.0
1991.0,5615,5900.0
1991.0,5616,4500.0
1991.0,5617,17400.0
1991.0,"5511, 5611  5612, 5619",1600.0
1991.0,5621  5629,
1991.0,6111  6117,98300.0
1991.0,6111,63100.0
1991.0,6112,10400.0
1991.0,6113,16900.0
1991.0,6114  6117,7800.0
1991.0,6211  6244,155700.0
1991.0,6211  6219,34900.0
1991.0,6220,66400.0
1991.0,6230,21400.0
1991.0,6241  6244,33100.0
1991.0,"5111  5191, 7111  7139",67900.0
1991.0,"5111  5112, 5161",9500.0
1991.0,5121  5122,3100.0
1991.0,"5151  5152, 5171  5179",24600.0
1991.0,5181  5191,4400.0
1991.0,7111  7115,8900.0
1991.0,7121,2200.0
1991.0,7131  7139,15100.0
1991.0,7211  7225,119100.0
1991.0,7211  7213,31100.0
1991.0,7221  7224,88000.0
1991.0,8111  8141,74700.0
1991.0,8111  8114,25300.0
1991.0,8121  8129,19800.0
1991.0,8131  8139,15200.0
1991.0,8141,14400.0
1991.0,9110  9191,91100.0
1991.0,"9110, 9111",36300.0
1991.0,9120,23900.0
1991.0,"9130, 9141, 9191",30900.0
1992.0,0,1617200.0
1992.0,"11,21,22,23,31,32,33",371000.0
1992.0,"1100  1129, 1151  1152",29200.0
1992.0,1111  1119,11500.0
1992.0,1121  1129,14300.0
1992.0,1100,2700.0
1992.0,1151  1152,
1992.0,"1131  1142, 1153, 2100  2131",47200.0
1992.0,"1131  1133, 1153",26300.0
1992.0,1141  1142,4900.0
1992.0,2100  2131,15900.0
1992.0,2111,
1992.0,"2121  2123, 2100",11000.0
1992.0,2131,3600.0
1992.0,2211  2213,11200.0
1992.0,2361  2389,116300.0
1992.0,23612362,32400.0
1992.0,2361,26900.0
1992.0,2362,5500.0
1992.0,23712379,12300.0
1992.0,2371,2600.0
1992.0,2372,
1992.0,2373,8000.0
1992.0,2379,
1992.0,2381  2389,71600.0
1992.0,2381,18500.0
1992.0,2382,19100.0
1992.0,2383,17600.0
1992.0,2389,16400.0
1992.0,3111  3399,167100.0
1992.0,3111  3119,18600.0
1992.0,3121  3122,2300.0
1992.0,"3131  3133, 3141  3149",
1992.0,"3151  3159, 3161  3169",4900.0
1992.0,3211  3219,47500.0
1992.0,3221  3222,19900.0
1992.0,3231,8300.0
1992.0,3241,
1992.0,3251  3259,3700.0
1992.0,3261  3262,3200.0
1992.0,3271  3279,6800.0
1992.0,3311  3315,7900.0
1992.0,3321  3329,9700.0
1992.0,3331  3339,5400.0
1992.0,3341  3346,3400.0
1992.0,3351  3359,2600.0
1992.0,3361  3369,8000.0
1992.0,3361  3363,2900.0
1992.0,3364  3369,5200.0
1992.0,3371  3379,5500.0
1992.0,3391  3399,8100.0
1992.0,"3211  3219, 3271  3279, 3311  3399",104800.0
1992.0,"3111  3169, 3221  3262",62300.0
1992.0,41 & over,1246200.0
1992.0,4111  4543,261900.0
1992.0,4111  4191,58300.0
1992.0,4111,
1992.0,4121,1800.0
1992.0,4131  4133,13200.0
1992.0,4141  4145,8400.0
1992.0,4151  4153,3900.0
1992.0,4161  4163,8900.0
1992.0,4171  4179,13100.0
1992.0,"4181  4189, 4191",7700.0
1992.0,4411  4543,203600.0
1992.0,4411  4413,23400.0
1992.0,4421  4422,12000.0
1992.0,4431,8100.0
1992.0,4441  4442,14400.0
1992.0,4451  4453,43400.0
1992.0,4461,11800.0
1992.0,4471,10600.0
1992.0,4481  4483,18700.0
1992.0,4511  4513,10900.0
1992.0,4521  4529,26300.0
1992.0,4531  4539,16300.0
1992.0,4541  4543,7600.0
1992.0,4811  4931,101800.0
1992.0,4811  4922,100100.0
1992.0,4811  4812,14000.0
1992.0,4821,11600.0
1992.0,4831  4832,7800.0
1992.0,4841  4842,27100.0
1992.0,4851  4859,12000.0
1992.0,4861  4869,
1992.0,"4871  4879 , 4881  4889",9800.0
1992.0,4911,9800.0
1992.0,4921  4922,7000.0
1992.0,4931,1700.0
1992.0,5211  5331,110900.0
1992.0,"5211, 5221  5223",35500.0
1992.0,5231  5239,6200.0
1992.0,"5241  5242, 5261  5269",24100.0
1992.0,5311  5313,36000.0
1992.0,"5321  5324, 5331",9000.0
1992.0,5411  5419,86700.0
1992.0,5411,18000.0
1992.0,5412,11300.0
1992.0,5413  5414,24900.0
1992.0,5415,7900.0
1992.0,5416  5417,10000.0
1992.0,5418,9800.0
1992.0,5419,4900.0
1992.0,5511  5629,41000.0
1992.0,5613,2900.0
1992.0,5614,3000.0
1992.0,5615,5500.0
1992.0,5616,6500.0
1992.0,5617,19900.0
1992.0,"5511, 5611  5612, 5619",1900.0
1992.0,5621  5629,
1992.0,6111  6117,107400.0
1992.0,6111,72000.0
1992.0,6112,7700.0
1992.0,6113,17500.0
1992.0,6114  6117,10100.0
1992.0,6211  6244,164100.0
1992.0,6211  6219,42000.0
1992.0,6220,62900.0
1992.0,6230,20000.0
1992.0,6241  6244,39100.0
1992.0,"5111  5191, 7111  7139",65400.0
1992.0,"5111  5112, 5161",9800.0
1992.0,5121  5122,2000.0
1992.0,"5151  5152, 5171  5179",22800.0
1992.0,5181  5191,4700.0
1992.0,7111  7115,9300.0
1992.0,7121,1500.0
1992.0,7131  7139,15500.0
1992.0,7211  7225,128100.0
1992.0,7211  7213,37600.0
1992.0,7221  7224,90500.0
1992.0,8111  8141,80600.0
1992.0,8111  8114,29500.0
1992.0,8121  8129,19300.0
1992.0,8131  8139,18300.0
1992.0,8141,13600.0
1992.0,9110  9191,98400.0
1992.0,"9110, 9111",35200.0
1992.0,9120,32000.0
1992.0,"9130, 9141, 9191",31200.0
1993.0,0,1668000.0
1993.0,"11,21,22,23,31,32,33",382800.0
1993.0,"1100  1129, 1151  1152",32700.0
1993.0,1111  1119,15300.0
1993.0,1121  1129,14200.0
1993.0,1100,2800.0
1993.0,1151  1152,
1993.0,"1131  1142, 1153, 2100  2131",44300.0
1993.0,"1131  1133, 1153",26200.0
1993.0,1141  1142,6300.0
1993.0,2100  2131,11800.0
1993.0,2111,1700.0
1993.0,"2121  2123, 2100",7700.0
1993.0,2131,2500.0
1993.0,2211  2213,12200.0
1993.0,2361  2389,116100.0
1993.0,23612362,30400.0
1993.0,2361,22600.0
1993.0,2362,7800.0
1993.0,23712379,14200.0
1993.0,2371,3200.0
1993.0,2372,
1993.0,2373,9200.0
1993.0,2379,
1993.0,2381  2389,71600.0
1993.0,2381,17700.0
1993.0,2382,18900.0
1993.0,2383,18300.0
1993.0,2389,16700.0
1993.0,3111  3399,177600.0
1993.0,3111  3119,19400.0
1993.0,3121  3122,2500.0
