state,region,year,value
Acre,Vale do Acre,2013,9312564.29
Acre,Vale do Acre,2014,10922802.01
Acre,Vale do Acre,2015,11164733.34
Acre,Vale do Acre,2016,11019943.42
Acre,Vale do Acre,2017,11395526.52
Amazonas,Norte Amazonense,2002,172660.28
Amazonas,Norte Amazonense,2003,197594.39
Amazonas,Norte Amazonense,2004,221697.98
Amazonas,Norte Amazonense,2005,243948.63
Amazonas,Norte Amazonense,2006,282120.35
Amazonas,Norte Amazonense,2007,323202.11
Amazonas,Norte Amazonense,2008,386586.51
Amazonas,Norte Amazonense,2009,434364.91
Amazonas,Norte Amazonense,2010,493112.2
Amazonas,Norte Amazonense,2011,582763.95
Amazonas,Norte Amazonense,2012,604391.1
Amazonas,Norte Amazonense,2013,696035.02
Amazonas,Norte Amazonense,2014,816777.79
Amazonas,Norte Amazonense,2015,873111.31
Amazonas,Norte Amazonense,2016,896252.34
Amazonas,Norte Amazonense,2017,944393.06
Amazonas,Sudoeste Amazonense,2002,622726.07
Amazonas,Sudoeste Amazonense,2003,677650.02
Amazonas,Sudoeste Amazonense,2004,719793.14
Amazonas,Sudoeste Amazonense,2005,797882.01
Amazonas,Sudoeste Amazonense,2006,945436.84
Amazonas,Sudoeste Amazonense,2007,957083.74
Amazonas,Sudoeste Amazonense,2008,1086033.13
Amazonas,Sudoeste Amazonense,2009,1215654.23
Amazonas,Sudoeste Amazonense,2010,1482611.68
Amazonas,Sudoeste Amazonense,2011,1832954.98
Amazonas,Sudoeste Amazonense,2012,2043156.37
Amazonas,Sudoeste Amazonense,2013,2460326.04
Amazonas,Sudoeste Amazonense,2014,2720635.04
Amazonas,Sudoeste Amazonense,2015,2829326.46
Amazonas,Sudoeste Amazonense,2016,2988858.73
Amazonas,Sudoeste Amazonense,2017,3197709.75
Amazonas,Centro Amazonense,2002,20804792.01
Amazonas,Centro Amazonense,2003,24450502.13
Amazonas,Centro Amazonense,2004,29557652.81
Amazonas,Centro Amazonense,2005,32250417.02
Amazonas,Centro Amazonense,2006,37796084.77
Amazonas,Centro Amazonense,2007,41251862.65
Amazonas,Centro Amazonense,2008,45587383.6
Amazonas,Centro Amazonense,2009,47764068.99
Amazonas,Centro Amazonense,2010,57525612.45
Amazonas,Centro Amazonense,2011,66500034.28
Amazonas,Centro Amazonense,2012,67630310.21
Amazonas,Centro Amazonense,2013,77633079.2
Amazonas,Centro Amazonense,2014,80590464.8
Amazonas,Centro Amazonense,2015,80192735.66
Amazonas,Centro Amazonense,2016,82327233.12
Amazonas,Centro Amazonense,2017,85886452.36
Amazonas,Sul Amazonense,2002,493159.66
Amazonas,Sul Amazonense,2003,536387.55
Amazonas,Sul Amazonense,2004,591551.87
Amazonas,Sul Amazonense,2005,688628.87
Amazonas,Sul Amazonense,2006,909570.68
Amazonas,Sul Amazonense,2007,947624.58
Amazonas,Sul Amazonense,2008,1055261.41
Amazonas,Sul Amazonense,2009,1145751.55
Amazonas,Sul Amazonense,2010,1375786.36
Amazonas,Sul Amazonense,2011,1818648.01
Amazonas,Sul Amazonense,2012,1964843.0
Amazonas,Sul Amazonense,2013,2261792.7
Amazonas,Sul Amazonense,2014,2540766.15
Amazonas,Sul Amazonense,2015,2673010.81
Amazonas,Sul Amazonense,2016,2827437.81
Amazonas,Sul Amazonense,2017,3175619.84
Roraima,Norte de Roraima,2002,2095513.33
Roraima,Norte de Roraima,2003,2268276.08
Roraima,Norte de Roraima,2004,2452454.24
Roraima,Norte de Roraima,2005,2767676.06
Roraima,Norte de Roraima,2006,3320711.08
Roraima,Norte de Roraima,2007,3652593.72
Roraima,Norte de Roraima,2008,4210095.67
Roraima,Norte de Roraima,2009,4924327.03
Roraima,Norte de Roraima,2010,5800677.75
Roraima,Norte de Roraima,2011,6312317.78
Roraima,Norte de Roraima,2012,6658444.3
Roraima,Norte de Roraima,2013,7697613.88
Roraima,Norte de Roraima,2014,8372263.71
Roraima,Norte de Roraima,2015,8726197.1
Roraima,Norte de Roraima,2016,9375368.34
Roraima,Norte de Roraima,2017,10332365.7
Roraima,Sul de Roraima,2002,296519.34
Roraima,Sul de Roraima,2003,325804.79
Roraima,Sul de Roraima,2004,370302.74
Roraima,Sul de Roraima,2005,425754.36
Roraima,Sul de Roraima,2006,481741.03
Roraima,Sul de Roraima,2007,550708.41
Roraima,Sul de Roraima,2008,631766.76
Roraima,Sul de Roraima,2009,747647.56
Roraima,Sul de Roraima,2010,838472.73
Roraima,Sul de Roraima,2011,991401.49
Roraima,Sul de Roraima,2012,1053022.82
Roraima,Sul de Roraima,2013,1313111.4
Roraima,Sul de Roraima,2014,1371858.6
Roraima,Sul de Roraima,2015,1516708.04
Roraima,Sul de Roraima,2016,1637868.88
Roraima,Sul de Roraima,2017,1770870.67
Pará,Baixo Amazonas,2002,2454376.04
Pará,Baixo Amazonas,2003,2937258.36
Pará,Baixo Amazonas,2004,3570215.15
Pará,Baixo Amazonas,2005,3707931.86
Pará,Baixo Amazonas,2006,3889140.86
Pará,Baixo Amazonas,2007,4188142.13
Pará,Baixo Amazonas,2008,5034018.88
Pará,Baixo Amazonas,2009,4980512.6
Pará,Baixo Amazonas,2010,6811746.89
Pará,Baixo Amazonas,2011,7157364.71
Pará,Baixo Amazonas,2012,7832735.2
Pará,Baixo Amazonas,2013,9455622.9
Pará,Baixo Amazonas,2014,9829858.81
Pará,Baixo Amazonas,2015,10180142.53
Pará,Baixo Amazonas,2016,11561837.92
Pará,Baixo Amazonas,2017,12043521.45
Pará,Marajó,2002,802806.55
Pará,Marajó,2003,863021.16
Pará,Marajó,2004,1013148.62
Pará,Marajó,2005,1095043.01
Pará,Marajó,2006,1171750.06
Pará,Marajó,2007,1357319.56
Pará,Marajó,2008,1445980.59
Pará,Marajó,2009,1636488.5
Pará,Marajó,2010,1938687.22
Pará,Marajó,2011,2280101.95
Pará,Marajó,2012,2692903.8
Pará,Marajó,2013,3137402.22
Pará,Marajó,2014,3310332.01
Pará,Marajó,2015,3854110.24
Pará,Marajó,2016,4402860.78
Pará,Marajó,2017,4605352.04
Pará,Metropolitana de Belém,2002,11768257.58
Pará,Metropolitana de Belém,2003,13202362.82
Pará,Metropolitana de Belém,2004,16354752.02
Pará,Metropolitana de Belém,2005,17381420.28
Pará,Metropolitana de Belém,2006,20200056.45
Pará,Metropolitana de Belém,2007,22509267.3
Pará,Metropolitana de Belém,2008,24595935.35
Pará,Metropolitana de Belém,2009,26249655.78
Pará,Metropolitana de Belém,2010,29028871.87
Pará,Metropolitana de Belém,2011,32918103.22
Pará,Metropolitana de Belém,2012,38592386.37
Pará,Metropolitana de Belém,2013,40505616.25
Pará,Metropolitana de Belém,2014,44931534.32
Pará,Metropolitana de Belém,2015,48482609.17
Pará,Metropolitana de Belém,2016,49515732.37
Pará,Metropolitana de Belém,2017,50813800.94
Pará,Nordeste Paraense,2002,3295469.21
Pará,Nordeste Paraense,2003,3787607.71
Pará,Nordeste Paraense,2004,4304733.23
Pará,Nordeste Paraense,2005,4782504.97
Pará,Nordeste Paraense,2006,5355554.31
Pará,Nordeste Paraense,2007,6183915.95
Pará,Nordeste Paraense,2008,6686136.56
Pará,Nordeste Paraense,2009,7509422.11
Pará,Nordeste Paraense,2010,8916638.96
Pará,Nordeste Paraense,2011,10341915.79
Pará,Nordeste Paraense,2012,11445273.68
Pará,Nordeste Paraense,2013,14464971.46
Pará,Nordeste Paraense,2014,14664340.54
Pará,Nordeste Paraense,2015,15840487.12
Pará,Nordeste Paraense,2016,17858941.99
Pará,Nordeste Paraense,2017,18570078.68
Pará,Sudoeste Paraense,2002,1275139.44
Pará,Sudoeste Paraense,2003,1433654.62
Pará,Sudoeste Paraense,2004,1719541.59
Pará,Sudoeste Paraense,2005,1885363.49
Pará,Sudoeste Paraense,2006,2065659.21
Pará,Sudoeste Paraense,2007,2536801.19
Pará,Sudoeste Paraense,2008,2682107.54
Pará,Sudoeste Paraense,2009,2905168.45
Pará,Sudoeste Paraense,2010,3595297.29
Pará,Sudoeste Paraense,2011,4299398.95
Pará,Sudoeste Paraense,2012,5465081.91
Pará,Sudoeste Paraense,2013,7151429.21
Pará,Sudoeste Paraense,2014,8881083.75
Pará,Sudoeste Paraense,2015,9073018.37
Pará,Sudoeste Paraense,2016,8872697.57
Pará,Sudoeste Paraense,2017,11520177.89
Pará,Sudeste Paraense,2002,6886110.05
Pará,Sudeste Paraense,2003,8046247.2
Pará,Sudeste Paraense,2004,10310335.29
Pará,Sudeste Paraense,2005,11670629.89
Pará,Sudeste Paraense,2006,13300865.92
Pará,Sudeste Paraense,2007,15071430.19
Pará,Sudeste Paraense,2008,20512799.32
Pará,Sudeste Paraense,2009,18383848.13
Pará,Sudeste Paraense,2010,32393275.58
Pará,Sudeste Paraense,2011,41713851.26
Pará,Sudeste Paraense,2012,41052499.96
Pará,Sudeste Paraense,2013,46509804.56
Pará,Sudeste Paraense,2014,42967795.59
Pará,Sudeste Paraense,2015,43469137.7
Pará,Sudeste Paraense,2016,45895443.63
Pará,Sudeste Paraense,2017,57642439.57
Amapá,Norte do Amapá,2002,159755.97
Amapá,Norte do Amapá,2003,180497.29
Amapá,Norte do Amapá,2004,214461.8
Amapá,Norte do Amapá,2005,250976.15
Amapá,Norte do Amapá,2006,289968.13
Amapá,Norte do Amapá,2007,367883.49
Amapá,Norte do Amapá,2008,427606.73
Amapá,Norte do Amapá,2009,476687.74
Amapá,Norte do Amapá,2010,493286.0
Amapá,Norte do Amapá,2011,573494.62
Amapá,Norte do Amapá,2012,670795.55
Amapá,Norte do Amapá,2013,817781.57
Amapá,Norte do Amapá,2014,793064.39
Amapá,Norte do Amapá,2015,796052.04
Amapá,Norte do Amapá,2016,884584.26
Amapá,Norte do Amapá,2017,973299.43
Amapá,Sul do Amapá,2002,3013586.7
Amapá,Sul do Amapá,2003,3232697.86
Amapá,Sul do Amapá,2004,3610277.96
Amapá,Sul do Amapá,2005,4055433.98
Amapá,Sul do Amapá,2006,4990853.82
Amapá,Sul do Amapá,2007,5644639.37
Amapá,Sul do Amapá,2008,6522806.35
Amapá,Sul do Amapá,2009,7013967.81
Amapá,Sul do Amapá,2010,7744509.35
Amapá,Sul do Amapá,2011,8835733.42
Amapá,Sul do Amapá,2012,10460072.25
Amapá,Sul do Amapá,2013,11945704.64
Amapá,Sul do Amapá,2014,12607219.2
Amapá,Sul do Amapá,2015,13065241.23
Amapá,Sul do Amapá,2016,13457550.82
Amapá,Sul do Amapá,2017,14506585.64
Tocantins,Ocidental do Tocantins,2002,3194935.18
Tocantins,Ocidental do Tocantins,2003,4152980.36
Tocantins,Ocidental do Tocantins,2004,4553149.05
Tocantins,Ocidental do Tocantins,2005,4737874.38
Tocantins,Ocidental do Tocantins,2006,5273014.22
Tocantins,Ocidental do Tocantins,2007,6263773.3
Tocantins,Ocidental do Tocantins,2008,7316315.79
Tocantins,Ocidental do Tocantins,2009,8171394.64
Tocantins,Ocidental do Tocantins,2010,9539146.77
Tocantins,Ocidental do Tocantins,2011,10560682.48
Tocantins,Ocidental do Tocantins,2012,11837253.16
Tocantins,Ocidental do Tocantins,2013,13609272.12
Tocantins,Ocidental do Tocantins,2014,14428732.22
Tocantins,Ocidental do Tocantins,2015,16261061.33
Tocantins,Ocidental do Tocantins,2016,18035868.15
Tocantins,Ocidental do Tocantins,2017,18833831.13
Tocantins,Oriental do Tocantins,2002,2127627.73
Tocantins,Oriental do Tocantins,2003,2459358.69
Tocantins,Oriental do Tocantins,2004,2698430.93
Tocantins,Oriental do Tocantins,2005,2969465.3
Tocantins,Oriental do Tocantins,2006,3382599.1
Tocantins,Oriental do Tocantins,2007,3929070.69
Tocantins,Oriental do Tocantins,2008,4800077.5
Tocantins,Oriental do Tocantins,2009,5518409.78
Tocantins,Oriental do Tocantins,2010,6865669.32
Tocantins,Oriental do Tocantins,2011,7785005.25
Tocantins,Oriental do Tocantins,2012,8847176.78
Tocantins,Oriental do Tocantins,2013,10187384.29
Tocantins,Oriental do Tocantins,2014,11760590.42
Tocantins,Oriental do Tocantins,2015,12669229.47
Tocantins,Oriental do Tocantins,2016,13548948.05
Tocantins,Oriental do Tocantins,2017,15267856.24
Maranhão,Norte Maranhense,2002,7700256.12
Maranhão,Norte Maranhense,2003,9023885.1
Maranhão,Norte Maranhense,2004,10418290.71
Maranhão,Norte Maranhense,2005,12169919.04
Maranhão,Norte Maranhense,2006,15001754.3
Maranhão,Norte Maranhense,2007,15257382.77
Maranhão,Norte Maranhense,2008,18578179.83
Maranhão,Norte Maranhense,2009,19953849.64
Maranhão,Norte Maranhense,2010,24055758.5
Maranhão,Norte Maranhense,2011,26963224.1
Maranhão,Norte Maranhense,2012,30646339.87
Maranhão,Norte Maranhense,2013,32104629.75
Maranhão,Norte Maranhense,2014,37816350.73
Maranhão,Norte Maranhense,2015,37853320.86
Maranhão,Norte Maranhense,2016,41020434.16
Maranhão,Norte Maranhense,2017,42657440.21
Maranhão,Oeste Maranhense,2002,3397493.78
Maranhão,Oeste Maranhense,2003,4217867.41
Maranhão,Oeste Maranhense,2004,4655803.39
Maranhão,Oeste Maranhense,2005,5216439.73
Maranhão,Oeste Maranhense,2006,6231381.33
Maranhão,Oeste Maranhense,2007,6335299.45
Maranhão,Oeste Maranhense,2008,7366006.65
Maranhão,Oeste Maranhense,2009,7789205.21
Maranhão,Oeste Maranhense,2010,8635888.94
Maranhão,Oeste Maranhense,2011,9880542.91
Maranhão,Oeste Maranhense,2012,11830781.47
Maranhão,Oeste Maranhense,2013,13547606.75
Maranhão,Oeste Maranhense,2014,15344715.43
Maranhão,Oeste Maranhense,2015,16547383.85
Maranhão,Oeste Maranhense,2016,18681828.87
Maranhão,Oeste Maranhense,2017,18278247.02
Maranhão,Centro Maranhense,2002,1548903.77
Maranhão,Centro Maranhense,2003,1828598.73
Maranhão,Centro Maranhense,2004,2023255.84
Maranhão,Centro Maranhense,2005,2191279.5
Maranhão,Centro Maranhense,2006,2533007.54
Maranhão,Centro Maranhense,2007,2675469.79
Maranhão,Centro Maranhense,2008,3363492.32
Maranhão,Centro Maranhense,2009,3722185.24
Maranhão,Centro Maranhense,2010,3982611.58
Maranhão,Centro Maranhense,2011,4568635.91
Maranhão,Centro Maranhense,2012,5063537.89
Maranhão,Centro Maranhense,2013,7423907.0
Maranhão,Centro Maranhense,2014,7364979.28
Maranhão,Centro Maranhense,2015,7611214.9
Maranhão,Centro Maranhense,2016,8667029.93
Maranhão,Centro Maranhense,2017,9410231.11
Maranhão,Leste Maranhense,2002,2161730.29
Maranhão,Leste Maranhense,2003,2766938.53
Maranhão,Leste Maranhense,2004,3164743.86
Maranhão,Leste Maranhense,2005,3414993.88
Maranhão,Leste Maranhense,2006,4075045.12
Maranhão,Leste Maranhense,2007,4194111.3
Maranhão,Leste Maranhense,2008,5001180.78
Maranhão,Leste Maranhense,2009,5530913.2
Maranhão,Leste Maranhense,2010,5873304.95
Maranhão,Leste Maranhense,2011,6620250.86
Maranhão,Leste Maranhense,2012,7280162.36
Maranhão,Leste Maranhense,2013,8087300.34
Maranhão,Leste Maranhense,2014,9463926.29
Maranhão,Leste Maranhense,2015,9638794.77
Maranhão,Leste Maranhense,2016,10854482.42
Maranhão,Leste Maranhense,2017,11309784.83
Maranhão,Sul Maranhense,2002,1115618.57
Maranhão,Sul Maranhense,2003,1665610.33
Maranhão,Sul Maranhense,2004,1865038.02
Maranhão,Sul Maranhense,2005,2111577.14
Maranhão,Sul Maranhense,2006,1869454.74
Maranhão,Sul Maranhense,2007,2268602.47
Maranhão,Sul Maranhense,2008,3623542.59
Maranhão,Sul Maranhense,2009,3998417.36
Maranhão,Sul Maranhense,2010,3762069.14
Maranhão,Sul Maranhense,2011,4110881.55
Maranhão,Sul Maranhense,2012,5669286.93
Maranhão,Sul Maranhense,2013,6531400.69
Maranhão,Sul Maranhense,2014,6852055.92
Maranhão,Sul Maranhense,2015,6825279.47
Maranhão,Sul Maranhense,2016,6086262.76
Maranhão,Sul Maranhense,2017,7868480.44
Piauí,Norte Piauiense,2002,954410.56
Piauí,Norte Piauiense,2003,1098029.63
Piauí,Norte Piauiense,2004,1266728.37
Piauí,Norte Piauiense,2005,1407355.03
Piauí,Norte Piauiense,2006,1715126.2
Piauí,Norte Piauiense,2007,1868702.67
Piauí,Norte Piauiense,2008,2133782.09
Piauí,Norte Piauiense,2009,2426835.2
Piauí,Norte Piauiense,2010,2880083.58
Piauí,Norte Piauiense,2011,3254705.81
Piauí,Norte Piauiense,2012,3614315.21
Piauí,Norte Piauiense,2013,4181764.09
Piauí,Norte Piauiense,2014,4842079.54
Piauí,Norte Piauiense,2015,5220982.11
Piauí,Norte Piauiense,2016,5720606.36
Piauí,Norte Piauiense,2017,6079503.19
Piauí,Centro-Norte Piauiense,2002,4410322.49
Piauí,Centro-Norte Piauiense,2003,5064529.25
Piauí,Centro-Norte Piauiense,2004,5424669.47
Piauí,Centro-Norte Piauiense,2005,6287876.84
Piauí,Centro-Norte Piauiense,2006,8192468.44
Piauí,Centro-Norte Piauiense,2007,8153496.76
Piauí,Centro-Norte Piauiense,2008,9281609.73
Piauí,Centro-Norte Piauiense,2009,10989812.26
Piauí,Centro-Norte Piauiense,2010,13262106.09
Piauí,Centro-Norte Piauiense,2011,15190092.19
Piauí,Centro-Norte Piauiense,2012,16593146.44
Piauí,Centro-Norte Piauiense,2013,18386058.93
Piauí,Centro-Norte Piauiense,2014,22056493.19
Piauí,Centro-Norte Piauiense,2015,22244489.44
Piauí,Centro-Norte Piauiense,2016,24207237.16
Piauí,Centro-Norte Piauiense,2017,24497901.67
Piauí,Sudoeste Piauiense,2002,921568.66
Piauí,Sudoeste Piauiense,2003,1293544.36
Piauí,Sudoeste Piauiense,2004,1618663.27
Piauí,Sudoeste Piauiense,2005,1749010.22
Piauí,Sudoeste Piauiense,2006,1866042.16
Piauí,Sudoeste Piauiense,2007,2042950.8
Piauí,Sudoeste Piauiense,2008,2807847.07
Piauí,Sudoeste Piauiense,2009,3285756.44
Piauí,Sudoeste Piauiense,2010,3465868.57
Piauí,Sudoeste Piauiense,2011,4397837.39
Piauí,Sudoeste Piauiense,2012,5184680.19
Piauí,Sudoeste Piauiense,2013,5074785.4
Piauí,Sudoeste Piauiense,2014,6556421.75
Piauí,Sudoeste Piauiense,2015,7136470.65
Piauí,Sudoeste Piauiense,2016,6420964.71
Piauí,Sudoeste Piauiense,2017,8864808.71
Piauí,Sudeste Piauiense,2002,836332.91
Piauí,Sudeste Piauiense,2003,958797.28
Piauí,Sudeste Piauiense,2004,1096399.64
Piauí,Sudeste Piauiense,2005,1267592.41
Piauí,Sudeste Piauiense,2006,1586841.69
Piauí,Sudeste Piauiense,2007,1670934.31
Piauí,Sudeste Piauiense,2008,1980100.97
Piauí,Sudeste Piauiense,2009,2244045.43
Piauí,Sudeste Piauiense,2010,2661090.9
Piauí,Sudeste Piauiense,2011,3098727.01
Piauí,Sudeste Piauiense,2012,3245542.86
Piauí,Sudeste Piauiense,2013,3640984.6
Piauí,Sudeste Piauiense,2014,4268502.17
Piauí,Sudeste Piauiense,2015,4547743.55
Piauí,Sudeste Piauiense,2016,5068128.5
Piauí,Sudeste Piauiense,2017,5916401.96
Ceará,Noroeste Cearense,2002,2886001.23
Ceará,Noroeste Cearense,2003,3391771.55
Ceará,Noroeste Cearense,2004,3886952.96
Ceará,Noroeste Cearense,2005,4329087.85
Ceará,Noroeste Cearense,2006,4776493.42
Ceará,Noroeste Cearense,2007,5120884.22
Ceará,Noroeste Cearense,2008,6046982.05
Ceará,Noroeste Cearense,2009,6521070.24
Ceará,Noroeste Cearense,2010,7872066.47
Ceará,Noroeste Cearense,2011,8743392.88
Ceará,Noroeste Cearense,2012,9439650.17
Ceará,Noroeste Cearense,2013,10720920.76
Ceará,Noroeste Cearense,2014,12352711.27
Ceará,Noroeste Cearense,2015,12929809.68
Ceará,Noroeste Cearense,2016,14131038.03
Ceará,Noroeste Cearense,2017,16081594.7
Ceará,Norte Cearense,2002,2229932.38
Ceará,Norte Cearense,2003,2554140.74
Ceará,Norte Cearense,2004,2973582.84
Ceará,Norte Cearense,2005,3244027.34
Ceará,Norte Cearense,2006,3643912.29
Ceará,Norte Cearense,2007,3695020.09
Ceará,Norte Cearense,2008,4592680.72
Ceará,Norte Cearense,2009,4783369.59
Ceará,Norte Cearense,2010,6133806.77
Ceará,Norte Cearense,2011,7159197.42
Ceará,Norte Cearense,2012,7160010.79
Ceará,Norte Cearense,2013,8196230.03
Ceará,Norte Cearense,2014,10200526.41
Ceará,Norte Cearense,2015,10814889.36
Ceará,Norte Cearense,2016,12060459.06
Ceará,Norte Cearense,2017,14119377.86
Ceará,Metropolitana de Fortaleza,2002,17838817.58
Ceará,Metropolitana de Fortaleza,2003,20069115.4
Ceará,Metropolitana de Fortaleza,2004,22903836.96
Ceará,Metropolitana de Fortaleza,2005,25609154.73
Ceará,Metropolitana de Fortaleza,2006,28844390.3
Ceará,Metropolitana de Fortaleza,2007,32131427.09
Ceará,Metropolitana de Fortaleza,2008,37802488.79
Ceará,Metropolitana de Fortaleza,2009,42953380.69
Ceará,Metropolitana de Fortaleza,2010,49982117.11
Ceará,Metropolitana de Fortaleza,2011,55916559.31
Ceará,Metropolitana de Fortaleza,2012,61558089.98
Ceará,Metropolitana de Fortaleza,2013,68630598.47
Ceará,Metropolitana de Fortaleza,2014,77879688.21
Ceará,Metropolitana de Fortaleza,2015,80446784.86
Ceará,Metropolitana de Fortaleza,2016,84275554.95
Ceará,Metropolitana de Fortaleza,2017,87075776.3
Ceará,Sertões Cearenses,2002,1599190.34
Ceará,Sertões Cearenses,2003,1860094.68
Ceará,Sertões Cearenses,2004,1938638.19
Ceará,Sertões Cearenses,2005,2230060.13
Ceará,Sertões Cearenses,2006,2543737.79
Ceará,Sertões Cearenses,2007,2641258.6
Ceará,Sertões Cearenses,2008,3348349.22
Ceará,Sertões Cearenses,2009,3470796.46
Ceará,Sertões Cearenses,2010,4044685.71
Ceará,Sertões Cearenses,2011,4910125.49
Ceará,Sertões Cearenses,2012,4727579.42
Ceará,Sertões Cearenses,2013,5341423.52
Ceará,Sertões Cearenses,2014,6394258.24
Ceará,Sertões Cearenses,2015,6698164.9
Ceará,Sertões Cearenses,2016,7326572.1
Ceará,Sertões Cearenses,2017,7986436.34
Ceará,Jaguaribe,2002,1450641.55
Ceará,Jaguaribe,2003,1666533.04
Ceará,Jaguaribe,2004,1873604.82
Ceará,Jaguaribe,2005,1982837.67
Ceará,Jaguaribe,2006,2277941.32
Ceará,Jaguaribe,2007,2499648.41
Ceará,Jaguaribe,2008,2957062.86
Ceará,Jaguaribe,2009,3126681.78
Ceará,Jaguaribe,2010,3658911.0
Ceará,Jaguaribe,2011,4184977.67
Ceará,Jaguaribe,2012,4689722.25
Ceará,Jaguaribe,2013,5687313.09
Ceará,Jaguaribe,2014,6297981.42
Ceará,Jaguaribe,2015,6538524.64
Ceará,Jaguaribe,2016,6755137.32
Ceará,Jaguaribe,2017,7551178.05
Ceará,Centro-Sul Cearense,2002,781267.41
Ceará,Centro-Sul Cearense,2003,921775.2
Ceará,Centro-Sul Cearense,2004,970690.89
Ceará,Centro-Sul Cearense,2005,1070839.35
Ceará,Centro-Sul Cearense,2006,1231542.63
Ceará,Centro-Sul Cearense,2007,1316944.15
Ceará,Centro-Sul Cearense,2008,1572221.13
Ceará,Centro-Sul Cearense,2009,1690365.68
Ceará,Centro-Sul Cearense,2010,2090007.39
Ceará,Centro-Sul Cearense,2011,2357033.83
Ceará,Centro-Sul Cearense,2012,2521277.27
Ceará,Centro-Sul Cearense,2013,2791011.58
Ceará,Centro-Sul Cearense,2014,3406728.78
Ceará,Centro-Sul Cearense,2015,3430206.64
Ceará,Centro-Sul Cearense,2016,3599785.51
Ceará,Centro-Sul Cearense,2017,3807485.27
Ceará,Sul Cearense,2002,1932989.86
Ceará,Sul Cearense,2003,2223987.66
Ceará,Sul Cearense,2004,2343509.54
Ceará,Sul Cearense,2005,2593452.16
Ceará,Sul Cearense,2006,3182302.99
Ceará,Sul Cearense,2007,3413566.46
Ceará,Sul Cearense,2008,4095788.9
Ceará,Sul Cearense,2009,4654293.62
Ceará,Sul Cearense,2010,5554704.82
Ceará,Sul Cearense,2011,6424541.83
Ceará,Sul Cearense,2012,6877423.01
Ceará,Sul Cearense,2013,7669058.91
Ceará,Sul Cearense,2014,9522577.32
Ceará,Sul Cearense,2015,9771468.44
Ceará,Sul Cearense,2016,10273973.7
Ceará,Sul Cearense,2017,11268543.23
Rio Grande do Norte,Oeste Potiguar,2002,3909017.74
Rio Grande do Norte,Oeste Potiguar,2003,4257432.73
Rio Grande do Norte,Oeste Potiguar,2004,5148595.42
Rio Grande do Norte,Oeste Potiguar,2005,6048046.58
Rio Grande do Norte,Oeste Potiguar,2006,6686109.75
Rio Grande do Norte,Oeste Potiguar,2007,7315985.07
Rio Grande do Norte,Oeste Potiguar,2008,8146685.81
Rio Grande do Norte,Oeste Potiguar,2009,7798348.13
