year,month,region,state,job_type,jobs
2006,1,Nordeste,Alagoas,Transporte Aéreo,60
2006,1,Nordeste,Alagoas,Aluguel de Transportes,266
2006,1,Nordeste,Alagoas,Agência de Viagem,339
2006,1,Nordeste,Alagoas,Cultura e Lazer,104
2006,1,Nordeste,Bahia,Alojamento,15123
2006,1,Nordeste,Bahia,Alimentação,9263
2006,1,Nordeste,Bahia,Transporte Terrestre,10341
2006,1,Nordeste,Bahia,Transporte Aquaviário,267
2006,1,Nordeste,Bahia,Transporte Aéreo,450
2006,1,Nordeste,Bahia,Aluguel de Transportes,650
2006,1,Nordeste,Bahia,Agência de Viagem,2439
2006,1,Nordeste,Bahia,Cultura e Lazer,737
2006,1,Nordeste,Ceará,Alojamento,5029
2006,1,Nordeste,Ceará,Alimentação,4973
2006,1,Nordeste,Ceará,Transporte Terrestre,3990
2006,1,Nordeste,Ceará,Transporte Aquaviário,116
2006,1,Nordeste,Ceará,Transporte Aéreo,217
2006,1,Nordeste,Ceará,Aluguel de Transportes,429
2006,1,Nordeste,Ceará,Agência de Viagem,724
2006,1,Nordeste,Ceará,Cultura e Lazer,378
2006,1,Nordeste,Maranhão,Alojamento,1961
2006,1,Nordeste,Maranhão,Alimentação,1253
2006,1,Nordeste,Maranhão,Transporte Terrestre,1935
2006,1,Nordeste,Maranhão,Transporte Aquaviário,152
2006,1,Nordeste,Maranhão,Transporte Aéreo,109
2006,1,Nordeste,Maranhão,Aluguel de Transportes,106
2006,1,Nordeste,Maranhão,Agência de Viagem,315
2006,1,Nordeste,Maranhão,Cultura e Lazer,64
2006,1,Nordeste,Paraíba,Alojamento,1631
2006,1,Nordeste,Paraíba,Alimentação,1437
2006,1,Nordeste,Paraíba,Transporte Terrestre,1599
2006,1,Nordeste,Paraíba,Transporte Aquaviário,53
2006,1,Nordeste,Paraíba,Transporte Aéreo,31
2006,1,Nordeste,Paraíba,Aluguel de Transportes,52
2006,1,Nordeste,Paraíba,Agência de Viagem,197
2006,1,Nordeste,Paraíba,Cultura e Lazer,143
2006,1,Nordeste,Pernambuco,Alojamento,8190
2006,1,Nordeste,Pernambuco,Alimentação,5913
2006,1,Nordeste,Pernambuco,Transporte Terrestre,5958
2006,1,Nordeste,Pernambuco,Transporte Aquaviário,49
2006,1,Nordeste,Pernambuco,Transporte Aéreo,245
2006,1,Nordeste,Pernambuco,Aluguel de Transportes,622
2006,1,Nordeste,Pernambuco,Agência de Viagem,1262
2006,1,Nordeste,Pernambuco,Cultura e Lazer,560
2006,1,Nordeste,Piauí,Alojamento,1272
2006,1,Nordeste,Piauí,Alimentação,818
2006,1,Nordeste,Piauí,Transporte Terrestre,1448
2006,1,Nordeste,Piauí,Transporte Aquaviário,7
2006,1,Nordeste,Piauí,Transporte Aéreo,32
2006,1,Nordeste,Piauí,Aluguel de Transportes,33
2006,1,Nordeste,Piauí,Agência de Viagem,269
2006,1,Nordeste,Piauí,Cultura e Lazer,74
2006,1,Nordeste,Rio Grande do Norte,Alojamento,5532
2006,1,Nordeste,Rio Grande do Norte,Alimentação,2128
2006,1,Nordeste,Rio Grande do Norte,Transporte Terrestre,1710
2006,1,Nordeste,Rio Grande do Norte,Transporte Aquaviário,142
2006,1,Nordeste,Rio Grande do Norte,Transporte Aéreo,106
2006,1,Nordeste,Rio Grande do Norte,Aluguel de Transportes,244
2006,1,Nordeste,Rio Grande do Norte,Agência de Viagem,391
2006,1,Nordeste,Rio Grande do Norte,Cultura e Lazer,172
2006,1,Nordeste,Sergipe,Alojamento,1550
2006,1,Nordeste,Sergipe,Alimentação,1399
2006,1,Nordeste,Sergipe,Transporte Terrestre,1318
2006,1,Nordeste,Sergipe,Transporte Aquaviário,73
2006,1,Nordeste,Sergipe,Transporte Aéreo,30
2006,1,Nordeste,Sergipe,Aluguel de Transportes,184
2006,1,Nordeste,Sergipe,Agência de Viagem,209
2006,1,Nordeste,Sergipe,Cultura e Lazer,136
2006,1,Norte,Acre,Alojamento,279
2006,1,Norte,Acre,Alimentação,197
2006,1,Norte,Acre,Transporte Terrestre,440
2006,1,Norte,Acre,Transporte Aquaviário,7
2006,1,Norte,Acre,Transporte Aéreo,49
2006,1,Norte,Acre,Aluguel de Transportes,65
2006,1,Norte,Acre,Agência de Viagem,52
2006,1,Norte,Acre,Cultura e Lazer,8
2006,1,Norte,Amapá,Alojamento,350
2006,1,Norte,Amapá,Alimentação,230
2006,1,Norte,Amapá,Transporte Terrestre,390
2006,1,Norte,Amapá,Transporte Aquaviário,65
2006,1,Norte,Amapá,Transporte Aéreo,26
2006,1,Norte,Amapá,Aluguel de Transportes,197
2006,1,Norte,Amapá,Agência de Viagem,62
2006,1,Norte,Amapá,Cultura e Lazer,8
2006,1,Norte,Amazonas,Alojamento,1718
2006,1,Norte,Amazonas,Alimentação,1772
2006,1,Norte,Amazonas,Transporte Terrestre,3036
2006,1,Norte,Amazonas,Transporte Aquaviário,811
2006,1,Norte,Amazonas,Transporte Aéreo,285
2006,1,Norte,Amazonas,Aluguel de Transportes,181
2006,1,Norte,Amazonas,Agência de Viagem,467
2006,1,Norte,Amazonas,Cultura e Lazer,39
2006,1,Norte,Pará,Alojamento,2769
2006,1,Norte,Pará,Alimentação,1904
2006,1,Norte,Pará,Transporte Terrestre,3644
2006,1,Norte,Pará,Transporte Aquaviário,805
2006,1,Norte,Pará,Transporte Aéreo,252
2006,1,Norte,Pará,Aluguel de Transportes,317
2006,1,Norte,Pará,Agência de Viagem,433
2006,1,Norte,Pará,Cultura e Lazer,120
2006,1,Norte,Rondônia,Alojamento,665
2006,1,Norte,Rondônia,Alimentação,543
2006,1,Norte,Rondônia,Transporte Terrestre,797
2006,1,Norte,Rondônia,Transporte Aquaviário,58
2006,1,Norte,Rondônia,Transporte Aéreo,49
2006,1,Norte,Rondônia,Aluguel de Transportes,25
2006,1,Norte,Rondônia,Agência de Viagem,256
2006,1,Norte,Rondônia,Cultura e Lazer,19
2006,1,Norte,Roraima,Alojamento,180
2006,1,Norte,Roraima,Alimentação,128
2006,1,Norte,Roraima,Transporte Terrestre,187
2006,1,Norte,Roraima,Transporte Aquaviário,0
2006,1,Norte,Roraima,Transporte Aéreo,65
2006,1,Norte,Roraima,Aluguel de Transportes,13
2006,1,Norte,Roraima,Agência de Viagem,25
2006,1,Norte,Roraima,Cultura e Lazer,5
2006,1,Norte,Tocantins,Alojamento,576
2006,1,Norte,Tocantins,Alimentação,392
2006,1,Norte,Tocantins,Transporte Terrestre,597
2006,1,Norte,Tocantins,Transporte Aquaviário,120
2006,1,Norte,Tocantins,Transporte Aéreo,33
2006,1,Norte,Tocantins,Aluguel de Transportes,24
2006,1,Norte,Tocantins,Agência de Viagem,61
2006,1,Norte,Tocantins,Cultura e Lazer,9
2006,1,Sudeste,Espírito Santo,Alojamento,2877
2006,1,Sudeste,Espírito Santo,Alimentação,3579
2006,1,Sudeste,Espírito Santo,Transporte Terrestre,5011
2006,1,Sudeste,Espírito Santo,Transporte Aquaviário,78
2006,1,Sudeste,Espírito Santo,Transporte Aéreo,66
2006,1,Sudeste,Espírito Santo,Aluguel de Transportes,199
2006,1,Sudeste,Espírito Santo,Agência de Viagem,508
2006,1,Sudeste,Espírito Santo,Cultura e Lazer,121
2006,1,Sudeste,Minas Gerais,Alojamento,16318
2006,1,Sudeste,Minas Gerais,Alimentação,17495
2006,1,Sudeste,Minas Gerais,Transporte Terrestre,22770
2006,1,Sudeste,Minas Gerais,Transporte Aquaviário,20
2006,1,Sudeste,Minas Gerais,Transporte Aéreo,1146
2006,1,Sudeste,Minas Gerais,Aluguel de Transportes,943
2006,1,Sudeste,Minas Gerais,Agência de Viagem,2182
2006,1,Sudeste,Minas Gerais,Cultura e Lazer,1142
2006,1,Sudeste,Rio de Janeiro,Alojamento,22363
2006,1,Sudeste,Rio de Janeiro,Alimentação,27926
2006,1,Sudeste,Rio de Janeiro,Transporte Terrestre,29826
2006,1,Sudeste,Rio de Janeiro,Transporte Aquaviário,1597
2006,1,Sudeste,Rio de Janeiro,Transporte Aéreo,6204
2006,1,Sudeste,Rio de Janeiro,Aluguel de Transportes,943
2006,1,Sudeste,Rio de Janeiro,Agência de Viagem,4648
2006,1,Sudeste,Rio de Janeiro,Cultura e Lazer,1879
2006,1,Sudeste,São Paulo,Alojamento,37167
2006,1,Sudeste,São Paulo,Alimentação,63291
2006,1,Sudeste,São Paulo,Transporte Terrestre,46126
2006,1,Sudeste,São Paulo,Transporte Aquaviário,387
2006,1,Sudeste,São Paulo,Transporte Aéreo,17671
2006,1,Sudeste,São Paulo,Aluguel de Transportes,1957
2006,1,Sudeste,São Paulo,Agência de Viagem,11880
2006,1,Sudeste,São Paulo,Cultura e Lazer,3749
2006,1,Sul,Paraná,Alojamento,11198
2006,1,Sul,Paraná,Alimentação,9236
2006,1,Sul,Paraná,Transporte Terrestre,11843
2006,1,Sul,Paraná,Transporte Aquaviário,116
2006,1,Sul,Paraná,Transporte Aéreo,478
2006,1,Sul,Paraná,Aluguel de Transportes,350
2006,1,Sul,Paraná,Agência de Viagem,1978
2006,1,Sul,Paraná,Cultura e Lazer,1086
2006,1,Sul,Rio Grande do Sul,Alojamento,9768
2006,1,Sul,Rio Grande do Sul,Alimentação,9466
2006,1,Sul,Rio Grande do Sul,Transporte Terrestre,13454
2006,1,Sul,Rio Grande do Sul,Transporte Aquaviário,206
2006,1,Sul,Rio Grande do Sul,Transporte Aéreo,753
2006,1,Sul,Rio Grande do Sul,Aluguel de Transportes,312
2006,1,Sul,Rio Grande do Sul,Agência de Viagem,1868
2006,1,Sul,Rio Grande do Sul,Cultura e Lazer,1339
2006,1,Sul,Santa Catarina,Alojamento,10227
2006,1,Sul,Santa Catarina,Alimentação,6858
2006,1,Sul,Santa Catarina,Transporte Terrestre,5723
2006,1,Sul,Santa Catarina,Transporte Aquaviário,68
2006,1,Sul,Santa Catarina,Transporte Aéreo,207
2006,1,Sul,Santa Catarina,Aluguel de Transportes,212
2006,1,Sul,Santa Catarina,Agência de Viagem,1479
2006,1,Sul,Santa Catarina,Cultura e Lazer,696
2006,2,Centro-Oeste,Distrito Federal,Alojamento,2667
2006,2,Centro-Oeste,Distrito Federal,Alimentação,4942
2006,2,Centro-Oeste,Distrito Federal,Transporte Terrestre,5322
2006,2,Centro-Oeste,Distrito Federal,Transporte Aquaviário,0
2006,2,Centro-Oeste,Distrito Federal,Transporte Aéreo,643
2006,2,Centro-Oeste,Distrito Federal,Aluguel de Transportes,227
2006,2,Centro-Oeste,Distrito Federal,Agência de Viagem,1449
2006,2,Centro-Oeste,Distrito Federal,Cultura e Lazer,461
2006,2,Centro-Oeste,Goiás,Alojamento,5741
2006,2,Centro-Oeste,Goiás,Alimentação,3016
2006,2,Centro-Oeste,Goiás,Transporte Terrestre,6460
2006,2,Centro-Oeste,Goiás,Transporte Aquaviário,17
2006,2,Centro-Oeste,Goiás,Transporte Aéreo,167
2006,2,Centro-Oeste,Goiás,Aluguel de Transportes,134
2006,2,Centro-Oeste,Goiás,Agência de Viagem,614
2006,2,Centro-Oeste,Goiás,Cultura e Lazer,309
2006,2,Centro-Oeste,Mato Grosso,Alojamento,2245
2006,2,Centro-Oeste,Mato Grosso,Alimentação,1484
2006,2,Centro-Oeste,Mato Grosso,Transporte Terrestre,3052
2006,2,Centro-Oeste,Mato Grosso,Transporte Aquaviário,39
2006,2,Centro-Oeste,Mato Grosso,Transporte Aéreo,120
2006,2,Centro-Oeste,Mato Grosso,Aluguel de Transportes,67
2006,2,Centro-Oeste,Mato Grosso,Agência de Viagem,427
2006,2,Centro-Oeste,Mato Grosso,Cultura e Lazer,65
2006,2,Centro-Oeste,Mato Grosso do Sul,Alojamento,1986
2006,2,Centro-Oeste,Mato Grosso do Sul,Alimentação,1184
2006,2,Centro-Oeste,Mato Grosso do Sul,Transporte Terrestre,2242
2006,2,Centro-Oeste,Mato Grosso do Sul,Transporte Aquaviário,93
2006,2,Centro-Oeste,Mato Grosso do Sul,Transporte Aéreo,63
2006,2,Centro-Oeste,Mato Grosso do Sul,Aluguel de Transportes,42
2006,2,Centro-Oeste,Mato Grosso do Sul,Agência de Viagem,421
2006,2,Centro-Oeste,Mato Grosso do Sul,Cultura e Lazer,102
2006,2,Nordeste,Alagoas,Alojamento,2500
2006,2,Nordeste,Alagoas,Alimentação,1411
2006,2,Nordeste,Alagoas,Transporte Terrestre,1347
2006,2,Nordeste,Alagoas,Transporte Aquaviário,12
2006,2,Nordeste,Alagoas,Transporte Aéreo,59
2006,2,Nordeste,Alagoas,Aluguel de Transportes,267
2006,2,Nordeste,Alagoas,Agência de Viagem,337
2006,2,Nordeste,Alagoas,Cultura e Lazer,97
2006,2,Nordeste,Bahia,Alojamento,15236
2006,2,Nordeste,Bahia,Alimentação,8636
2006,2,Nordeste,Bahia,Transporte Terrestre,10182
2006,2,Nordeste,Bahia,Transporte Aquaviário,259
2006,2,Nordeste,Bahia,Transporte Aéreo,454
2006,2,Nordeste,Bahia,Aluguel de Transportes,663
2006,2,Nordeste,Bahia,Agência de Viagem,2411
2006,2,Nordeste,Bahia,Cultura e Lazer,670
2006,2,Nordeste,Ceará,Alojamento,4968
2006,2,Nordeste,Ceará,Alimentação,4619
2006,2,Nordeste,Ceará,Transporte Terrestre,3961
2006,2,Nordeste,Ceará,Transporte Aquaviário,113
2006,2,Nordeste,Ceará,Transporte Aéreo,222
2006,2,Nordeste,Ceará,Aluguel de Transportes,475
2006,2,Nordeste,Ceará,Agência de Viagem,728
2006,2,Nordeste,Ceará,Cultura e Lazer,347
2006,2,Nordeste,Maranhão,Alojamento,1981
2006,2,Nordeste,Maranhão,Alimentação,1159
2006,2,Nordeste,Maranhão,Transporte Terrestre,1908
2006,2,Nordeste,Maranhão,Transporte Aquaviário,147
2006,2,Nordeste,Maranhão,Transporte Aéreo,113
2006,2,Nordeste,Maranhão,Aluguel de Transportes,107
2006,2,Nordeste,Maranhão,Agência de Viagem,310
2006,2,Nordeste,Maranhão,Cultura e Lazer,60
2006,2,Nordeste,Paraíba,Alojamento,1626
2006,2,Nordeste,Paraíba,Alimentação,1347
2006,2,Nordeste,Paraíba,Transporte Terrestre,1585
2006,2,Nordeste,Paraíba,Transporte Aquaviário,51
2006,2,Nordeste,Paraíba,Transporte Aéreo,32
2006,2,Nordeste,Paraíba,Aluguel de Transportes,52
2006,2,Nordeste,Paraíba,Agência de Viagem,202
2006,2,Nordeste,Paraíba,Cultura e Lazer,129
2006,2,Nordeste,Pernambuco,Alojamento,8226
2006,2,Nordeste,Pernambuco,Alimentação,5502
2006,2,Nordeste,Pernambuco,Transporte Terrestre,5906
2006,2,Nordeste,Pernambuco,Transporte Aquaviário,47
2006,2,Nordeste,Pernambuco,Transporte Aéreo,246
2006,2,Nordeste,Pernambuco,Aluguel de Transportes,640
2006,2,Nordeste,Pernambuco,Agência de Viagem,1248
2006,2,Nordeste,Pernambuco,Cultura e Lazer,508
2006,2,Nordeste,Piauí,Alojamento,1256
2006,2,Nordeste,Piauí,Alimentação,767
2006,2,Nordeste,Piauí,Transporte Terrestre,1438
2006,2,Nordeste,Piauí,Transporte Aquaviário,7
2006,2,Nordeste,Piauí,Transporte Aéreo,32
2006,2,Nordeste,Piauí,Aluguel de Transportes,35
2006,2,Nordeste,Piauí,Agência de Viagem,268
2006,2,Nordeste,Piauí,Cultura e Lazer,67
2006,2,Nordeste,Rio Grande do Norte,Alojamento,5526
2006,2,Nordeste,Rio Grande do Norte,Alimentação,1981
2006,2,Nordeste,Rio Grande do Norte,Transporte Terrestre,1685
2006,2,Nordeste,Rio Grande do Norte,Transporte Aquaviário,136
2006,2,Nordeste,Rio Grande do Norte,Transporte Aéreo,103
2006,2,Nordeste,Rio Grande do Norte,Aluguel de Transportes,247
2006,2,Nordeste,Rio Grande do Norte,Agência de Viagem,396
2006,2,Nordeste,Rio Grande do Norte,Cultura e Lazer,161
2006,2,Nordeste,Sergipe,Alojamento,1549
2006,2,Nordeste,Sergipe,Alimentação,1313
2006,2,Nordeste,Sergipe,Transporte Terrestre,1318
2006,2,Nordeste,Sergipe,Transporte Aquaviário,71
2006,2,Nordeste,Sergipe,Transporte Aéreo,29
2006,2,Nordeste,Sergipe,Aluguel de Transportes,234
2006,2,Nordeste,Sergipe,Agência de Viagem,208
2006,2,Nordeste,Sergipe,Cultura e Lazer,123
2006,2,Norte,Acre,Alojamento,289
2006,2,Norte,Acre,Alimentação,194
2006,2,Norte,Acre,Transporte Terrestre,402
2006,2,Norte,Acre,Transporte Aquaviário,7
2006,2,Norte,Acre,Transporte Aéreo,52
2006,2,Norte,Acre,Aluguel de Transportes,64
2006,2,Norte,Acre,Agência de Viagem,58
2006,2,Norte,Acre,Cultura e Lazer,8
2006,2,Norte,Amapá,Alojamento,357
2006,2,Norte,Amapá,Alimentação,224
2006,2,Norte,Amapá,Transporte Terrestre,357
2006,2,Norte,Amapá,Transporte Aquaviário,65
2006,2,Norte,Amapá,Transporte Aéreo,36
2006,2,Norte,Amapá,Aluguel de Transportes,192
2006,2,Norte,Amapá,Agência de Viagem,58
2006,2,Norte,Amapá,Cultura e Lazer,9
2006,2,Norte,Amazonas,Alojamento,1734
2006,2,Norte,Amazonas,Alimentação,1741
2006,2,Norte,Amazonas,Transporte Terrestre,2854
2006,2,Norte,Amazonas,Transporte Aquaviário,812
2006,2,Norte,Amazonas,Transporte Aéreo,291
2006,2,Norte,Amazonas,Aluguel de Transportes,185
2006,2,Norte,Amazonas,Agência de Viagem,464
2006,2,Norte,Amazonas,Cultura e Lazer,38
2006,2,Norte,Pará,Alojamento,2841
2006,2,Norte,Pará,Alimentação,1856
2006,2,Norte,Pará,Transporte Terrestre,3325
2006,2,Norte,Pará,Transporte Aquaviário,806
2006,2,Norte,Pará,Transporte Aéreo,263
2006,2,Norte,Pará,Aluguel de Transportes,306
2006,2,Norte,Pará,Agência de Viagem,434
2006,2,Norte,Pará,Cultura e Lazer,115
2006,2,Norte,Rondônia,Alojamento,676
2006,2,Norte,Rondônia,Alimentação,537
2006,2,Norte,Rondônia,Transporte Terrestre,715
2006,2,Norte,Rondônia,Transporte Aquaviário,57
2006,2,Norte,Rondônia,Transporte Aéreo,52
2006,2,Norte,Rondônia,Aluguel de Transportes,23
2006,2,Norte,Rondônia,Agência de Viagem,262
2006,2,Norte,Rondônia,Cultura e Lazer,19
2006,2,Norte,Roraima,Alojamento,179
2006,2,Norte,Roraima,Alimentação,146
2006,2,Norte,Roraima,Transporte Terrestre,174
2006,2,Norte,Roraima,Transporte Aquaviário,0
2006,2,Norte,Roraima,Transporte Aéreo,63
2006,2,Norte,Roraima,Aluguel de Transportes,12
2006,2,Norte,Roraima,Agência de Viagem,25
2006,2,Norte,Roraima,Cultura e Lazer,5
2006,2,Norte,Tocantins,Alojamento,590
2006,2,Norte,Tocantins,Alimentação,387
2006,2,Norte,Tocantins,Transporte Terrestre,543
2006,2,Norte,Tocantins,Transporte Aquaviário,121
2006,2,Norte,Tocantins,Transporte Aéreo,34
2006,2,Norte,Tocantins,Aluguel de Transportes,25
2006,2,Norte,Tocantins,Agência de Viagem,63
2006,2,Norte,Tocantins,Cultura e Lazer,9
2006,2,Sudeste,Espírito Santo,Alojamento,2841
2006,2,Sudeste,Espírito Santo,Alimentação,3494
2006,2,Sudeste,Espírito Santo,Transporte Terrestre,4997
2006,2,Sudeste,Espírito Santo,Transporte Aquaviário,80
2006,2,Sudeste,Espírito Santo,Transporte Aéreo,66
2006,2,Sudeste,Espírito Santo,Aluguel de Transportes,201
2006,2,Sudeste,Espírito Santo,Agência de Viagem,517
2006,2,Sudeste,Espírito Santo,Cultura e Lazer,115
2006,2,Sudeste,Minas Gerais,Alojamento,16354
2006,2,Sudeste,Minas Gerais,Alimentação,16982
2006,2,Sudeste,Minas Gerais,Transporte Terrestre,22663
2006,2,Sudeste,Minas Gerais,Transporte Aquaviário,19
2006,2,Sudeste,Minas Gerais,Transporte Aéreo,1166
2006,2,Sudeste,Minas Gerais,Aluguel de Transportes,933
2006,2,Sudeste,Minas Gerais,Agência de Viagem,2198
2006,2,Sudeste,Minas Gerais,Cultura e Lazer,1105
2006,2,Sudeste,Rio de Janeiro,Alojamento,22374
2006,2,Sudeste,Rio de Janeiro,Alimentação,27235
2006,2,Sudeste,Rio de Janeiro,Transporte Terrestre,29751
2006,2,Sudeste,Rio de Janeiro,Transporte Aquaviário,1547
2006,2,Sudeste,Rio de Janeiro,Transporte Aéreo,6242
2006,2,Sudeste,Rio de Janeiro,Aluguel de Transportes,946
2006,2,Sudeste,Rio de Janeiro,Agência de Viagem,4708
2006,2,Sudeste,Rio de Janeiro,Cultura e Lazer,1813
2006,2,Sudeste,São Paulo,Alojamento,37068
2006,2,Sudeste,São Paulo,Alimentação,61948
2006,2,Sudeste,São Paulo,Transporte Terrestre,46021
2006,2,Sudeste,São Paulo,Transporte Aquaviário,380
2006,2,Sudeste,São Paulo,Transporte Aéreo,17894
2006,2,Sudeste,São Paulo,Aluguel de Transportes,1968
2006,2,Sudeste,São Paulo,Agência de Viagem,12069
2006,2,Sudeste,São Paulo,Cultura e Lazer,3608
2006,2,Sul,Paraná,Alojamento,11233
2006,2,Sul,Paraná,Alimentação,8903
2006,2,Sul,Paraná,Transporte Terrestre,11654
2006,2,Sul,Paraná,Transporte Aquaviário,112
2006,2,Sul,Paraná,Transporte Aéreo,477
2006,2,Sul,Paraná,Aluguel de Transportes,352
2006,2,Sul,Paraná,Agência de Viagem,1994
2006,2,Sul,Paraná,Cultura e Lazer,1049
2006,2,Sul,Rio Grande do Sul,Alojamento,9546
2006,2,Sul,Rio Grande do Sul,Alimentação,8923
2006,2,Sul,Rio Grande do Sul,Transporte Terrestre,13247
2006,2,Sul,Rio Grande do Sul,Transporte Aquaviário,200
2006,2,Sul,Rio Grande do Sul,Transporte Aéreo,755
2006,2,Sul,Rio Grande do Sul,Aluguel de Transportes,305
2006,2,Sul,Rio Grande do Sul,Agência de Viagem,1864
2006,2,Sul,Rio Grande do Sul,Cultura e Lazer,1295
2006,2,Sul,Santa Catarina,Alojamento,9958
2006,2,Sul,Santa Catarina,Alimentação,6486
2006,2,Sul,Santa Catarina,Transporte Terrestre,5646
2006,2,Sul,Santa Catarina,Transporte Aquaviário,66
2006,2,Sul,Santa Catarina,Transporte Aéreo,207
2006,2,Sul,Santa Catarina,Aluguel de Transportes,214
2006,2,Sul,Santa Catarina,Agência de Viagem,1489
2006,2,Sul,Santa Catarina,Cultura e Lazer,684
2006,3,Centro-Oeste,Distrito Federal,Alojamento,2687
2006,3,Centro-Oeste,Distrito Federal,Alimentação,4679
2006,3,Centro-Oeste,Distrito Federal,Transporte Terrestre,5270
2006,3,Centro-Oeste,Distrito Federal,Transporte Aquaviário,0
2006,3,Centro-Oeste,Distrito Federal,Transporte Aéreo,639
2006,3,Centro-Oeste,Distrito Federal,Aluguel de Transportes,237
2006,3,Centro-Oeste,Distrito Federal,Agência de Viagem,1453
2006,3,Centro-Oeste,Distrito Federal,Cultura e Lazer,480
2006,3,Centro-Oeste,Goiás,Alojamento,5702
2006,3,Centro-Oeste,Goiás,Alimentação,2873
2006,3,Centro-Oeste,Goiás,Transporte Terrestre,6112
2006,3,Centro-Oeste,Goiás,Transporte Aquaviário,20
2006,3,Centro-Oeste,Goiás,Transporte Aéreo,168
2006,3,Centro-Oeste,Goiás,Aluguel de Transportes,138
2006,3,Centro-Oeste,Goiás,Agência de Viagem,615
2006,3,Centro-Oeste,Goiás,Cultura e Lazer,317
2006,3,Centro-Oeste,Mato Grosso,Alojamento,2235
2006,3,Centro-Oeste,Mato Grosso,Alimentação,1427
2006,3,Centro-Oeste,Mato Grosso,Transporte Terrestre,2934
2006,3,Centro-Oeste,Mato Grosso,Transporte Aquaviário,48
2006,3,Centro-Oeste,Mato Grosso,Transporte Aéreo,118
2006,3,Centro-Oeste,Mato Grosso,Aluguel de Transportes,68
2006,3,Centro-Oeste,Mato Grosso,Agência de Viagem,425
2006,3,Centro-Oeste,Mato Grosso,Cultura e Lazer,68
2006,3,Centro-Oeste,Mato Grosso do Sul,Alojamento,1979
2006,3,Centro-Oeste,Mato Grosso do Sul,Alimentação,1112
2006,3,Centro-Oeste,Mato Grosso do Sul,Transporte Terrestre,2175
2006,3,Centro-Oeste,Mato Grosso do Sul,Transporte Aquaviário,105
2006,3,Centro-Oeste,Mato Grosso do Sul,Transporte Aéreo,62
2006,3,Centro-Oeste,Mato Grosso do Sul,Aluguel de Transportes,46
2006,3,Centro-Oeste,Mato Grosso do Sul,Agência de Viagem,462
2006,3,Centro-Oeste,Mato Grosso do Sul,Cultura e Lazer,108
2006,3,Nordeste,Alagoas,Alojamento,2382
2006,3,Nordeste,Alagoas,Alimentação,1235
2006,3,Nordeste,Alagoas,Transporte Terrestre,1264
2006,3,Nordeste,Alagoas,Transporte Aquaviário,10
2006,3,Nordeste,Alagoas,Transporte Aéreo,59
2006,3,Nordeste,Alagoas,Aluguel de Transportes,230
2006,3,Nordeste,Alagoas,Agência de Viagem,332
2006,3,Nordeste,Alagoas,Cultura e Lazer,92
2006,3,Nordeste,Bahia,Alojamento,14795
2006,3,Nordeste,Bahia,Alimentação,7439
2006,3,Nordeste,Bahia,Transporte Terrestre,9638
2006,3,Nordeste,Bahia,Transporte Aquaviário,337
2006,3,Nordeste,Bahia,Transporte Aéreo,444
