year,quarter,job_type,state,value
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Goiás,1156
2012,Q1,"Skilled workers, construction workers and artisans, mechanics and other crafts",Distrito Federal,1321
2012,Q1,Plant and machine operators and assemblers,Rondônia,1186
2012,Q1,Plant and machine operators and assemblers,Acre,1114
2012,Q1,Plant and machine operators and assemblers,Amazonas,1069
2012,Q1,Plant and machine operators and assemblers,Roraima,1293
2012,Q1,Plant and machine operators and assemblers,Pará,962
2012,Q1,Plant and machine operators and assemblers,Amapá,1036
2012,Q1,Plant and machine operators and assemblers,Tocantins,1040
2012,Q1,Plant and machine operators and assemblers,Maranhão,868
2012,Q1,Plant and machine operators and assemblers,Piauí,775
2012,Q1,Plant and machine operators and assemblers,Ceará,739
2012,Q1,Plant and machine operators and assemblers,Rio Grande do Norte,901
2012,Q1,Plant and machine operators and assemblers,Paraíba,815
2012,Q1,Plant and machine operators and assemblers,Pernambuco,820
2012,Q1,Plant and machine operators and assemblers,Alagoas,897
2012,Q1,Plant and machine operators and assemblers,Sergipe,893
2012,Q1,Plant and machine operators and assemblers,Bahia,942
2012,Q1,Plant and machine operators and assemblers,Minas Gerais,1116
2012,Q1,Plant and machine operators and assemblers,Espírito Santo,1321
2012,Q1,Plant and machine operators and assemblers,Rio de Janeiro,1258
2012,Q1,Plant and machine operators and assemblers,São Paulo,1323
2012,Q1,Plant and machine operators and assemblers,Paraná,1231
2012,Q1,Plant and machine operators and assemblers,Santa Catarina,1241
2012,Q1,Plant and machine operators and assemblers,Rio Grande do Sul,1176
2012,Q1,Plant and machine operators and assemblers,Mato Grosso do Sul,1240
2012,Q1,Plant and machine operators and assemblers,Mato Grosso,1432
2012,Q1,Plant and machine operators and assemblers,Goiás,1127
2012,Q1,Plant and machine operators and assemblers,Distrito Federal,1582
2012,Q1,Elementary occupations,Rondônia,646
2012,Q1,Elementary occupations,Acre,574
2012,Q1,Elementary occupations,Amazonas,647
2012,Q1,Elementary occupations,Roraima,714
2012,Q1,Elementary occupations,Pará,553
2012,Q1,Elementary occupations,Amapá,581
2012,Q1,Elementary occupations,Tocantins,556
2012,Q1,Elementary occupations,Maranhão,371
2012,Q1,Elementary occupations,Piauí,359
2012,Q1,Elementary occupations,Ceará,440
2012,Q1,Elementary occupations,Rio Grande do Norte,500
2012,Q1,Elementary occupations,Paraíba,416
2012,Q1,Elementary occupations,Pernambuco,516
2012,Q1,Elementary occupations,Alagoas,511
2012,Q1,Elementary occupations,Sergipe,482
2012,Q1,Elementary occupations,Bahia,419
2012,Q1,Elementary occupations,Minas Gerais,613
2012,Q1,Elementary occupations,Espírito Santo,685
2012,Q1,Elementary occupations,Rio de Janeiro,709
2012,Q1,Elementary occupations,São Paulo,798
2012,Q1,Elementary occupations,Paraná,735
2012,Q1,Elementary occupations,Santa Catarina,825
2012,Q1,Elementary occupations,Rio Grande do Sul,707
2012,Q1,Elementary occupations,Mato Grosso do Sul,639
2012,Q1,Elementary occupations,Mato Grosso,746
2012,Q1,Elementary occupations,Goiás,671
2012,Q1,Elementary occupations,Distrito Federal,827
2012,Q1,"Members of the armed forces, police and military firefighters",Rondônia,2247
2012,Q1,"Members of the armed forces, police and military firefighters",Acre,2622
2012,Q1,"Members of the armed forces, police and military firefighters",Amazonas,2963
2012,Q1,"Members of the armed forces, police and military firefighters",Roraima,2478
2012,Q1,"Members of the armed forces, police and military firefighters",Pará,2092
2012,Q1,"Members of the armed forces, police and military firefighters",Amapá,2945
2012,Q1,"Members of the armed forces, police and military firefighters",Tocantins,4192
2012,Q1,"Members of the armed forces, police and military firefighters",Maranhão,3095
2012,Q1,"Members of the armed forces, police and military firefighters",Piauí,1619
2012,Q1,"Members of the armed forces, police and military firefighters",Ceará,2327
2012,Q1,"Members of the armed forces, police and military firefighters",Rio Grande do Norte,1938
2012,Q1,"Members of the armed forces, police and military firefighters",Paraíba,2705
2012,Q1,"Members of the armed forces, police and military firefighters",Pernambuco,2236
2012,Q1,"Members of the armed forces, police and military firefighters",Alagoas,3523
2012,Q1,"Members of the armed forces, police and military firefighters",Sergipe,4619
2012,Q1,"Members of the armed forces, police and military firefighters",Bahia,1890
2012,Q1,"Members of the armed forces, police and military firefighters",Minas Gerais,2810
2012,Q1,"Members of the armed forces, police and military firefighters",Espírito Santo,2670
2012,Q1,"Members of the armed forces, police and military firefighters",Rio de Janeiro,2682
2012,Q1,"Members of the armed forces, police and military firefighters",São Paulo,2556
2012,Q1,"Members of the armed forces, police and military firefighters",Paraná,2421
2012,Q1,"Members of the armed forces, police and military firefighters",Santa Catarina,3179
2012,Q1,"Members of the armed forces, police and military firefighters",Rio Grande do Sul,2510
2012,Q1,"Members of the armed forces, police and military firefighters",Mato Grosso do Sul,2506
2012,Q1,"Members of the armed forces, police and military firefighters",Mato Grosso,1958
2012,Q1,"Members of the armed forces, police and military firefighters",Goiás,2627
2012,Q1,"Members of the armed forces, police and military firefighters",Distrito Federal,4135
2012,Q1,Ill-defined occupations,Rondônia,2461
2012,Q1,Ill-defined occupations,Acre,1620
2012,Q1,Ill-defined occupations,Amazonas,3096
2012,Q1,Ill-defined occupations,Roraima,957
2012,Q1,Ill-defined occupations,Pará,900
2012,Q1,Ill-defined occupations,Amapá,879
2012,Q1,Ill-defined occupations,Tocantins,2031
2012,Q1,Ill-defined occupations,Maranhão,1880
2012,Q1,Ill-defined occupations,Piauí,325
2012,Q1,Ill-defined occupations,Ceará,1135
2012,Q1,Ill-defined occupations,Rio Grande do Norte,798
2012,Q1,Ill-defined occupations,Paraíba,2451
2012,Q1,Ill-defined occupations,Pernambuco,2633
2012,Q1,Ill-defined occupations,Alagoas,1259
2012,Q1,Ill-defined occupations,Sergipe,674
2012,Q1,Ill-defined occupations,Bahia,572
2012,Q1,Ill-defined occupations,Minas Gerais,1077
2012,Q1,Ill-defined occupations,Espírito Santo,1586
2012,Q1,Ill-defined occupations,Rio de Janeiro,1531
2012,Q1,Ill-defined occupations,São Paulo,1883
2012,Q1,Ill-defined occupations,Paraná,1268
2012,Q1,Ill-defined occupations,Santa Catarina,830
2012,Q1,Ill-defined occupations,Rio Grande do Sul,1449
2012,Q1,Ill-defined occupations,Mato Grosso do Sul,1744
2012,Q1,Ill-defined occupations,Mato Grosso,1955
2012,Q1,Ill-defined occupations,Goiás,990
2012,Q1,Ill-defined occupations,Distrito Federal,1966
2012,Q2,Directors and managers,Rondônia,2439
2012,Q2,Directors and managers,Acre,2695
2012,Q2,Directors and managers,Amazonas,4349
2012,Q2,Directors and managers,Roraima,3575
2012,Q2,Directors and managers,Pará,2896
2012,Q2,Directors and managers,Amapá,2025
2012,Q2,Directors and managers,Tocantins,2910
2012,Q2,Directors and managers,Maranhão,2044
2012,Q2,Directors and managers,Piauí,2052
2012,Q2,Directors and managers,Ceará,2923
2012,Q2,Directors and managers,Rio Grande do Norte,2245
2012,Q2,Directors and managers,Paraíba,1904
2012,Q2,Directors and managers,Pernambuco,3504
2012,Q2,Directors and managers,Alagoas,2097
2012,Q2,Directors and managers,Sergipe,2328
2012,Q2,Directors and managers,Bahia,3022
2012,Q2,Directors and managers,Minas Gerais,3196
2012,Q2,Directors and managers,Espírito Santo,2579
2012,Q2,Directors and managers,Rio de Janeiro,3263
2012,Q2,Directors and managers,São Paulo,4491
2012,Q2,Directors and managers,Paraná,3225
2012,Q2,Directors and managers,Santa Catarina,2744
2012,Q2,Directors and managers,Rio Grande do Sul,3408
2012,Q2,Directors and managers,Mato Grosso do Sul,2840
2012,Q2,Directors and managers,Mato Grosso,3133
2012,Q2,Directors and managers,Goiás,2806
2012,Q2,Directors and managers,Distrito Federal,6509
2012,Q2,Science and intellection professions,Rondônia,2605
2012,Q2,Science and intellection professions,Acre,2519
2012,Q2,Science and intellection professions,Amazonas,2777
2012,Q2,Science and intellection professions,Roraima,2896
2012,Q2,Science and intellection professions,Pará,2032
2012,Q2,Science and intellection professions,Amapá,3031
2012,Q2,Science and intellection professions,Tocantins,2607
2012,Q2,Science and intellection professions,Maranhão,1533
2012,Q2,Science and intellection professions,Piauí,1880
2012,Q2,Science and intellection professions,Ceará,2053
2012,Q2,Science and intellection professions,Rio Grande do Norte,2247
2012,Q2,Science and intellection professions,Paraíba,1905
2012,Q2,Science and intellection professions,Pernambuco,2962
2012,Q2,Science and intellection professions,Alagoas,1930
2012,Q2,Science and intellection professions,Sergipe,2313
2012,Q2,Science and intellection professions,Bahia,2463
2012,Q2,Science and intellection professions,Minas Gerais,2796
2012,Q2,Science and intellection professions,Espírito Santo,3112
2012,Q2,Science and intellection professions,Rio de Janeiro,3243
2012,Q2,Science and intellection professions,São Paulo,3755
2012,Q2,Science and intellection professions,Paraná,2812
2012,Q2,Science and intellection professions,Santa Catarina,2757
2012,Q2,Science and intellection professions,Rio Grande do Sul,2933
2012,Q2,Science and intellection professions,Mato Grosso do Sul,3036
2012,Q2,Science and intellection professions,Mato Grosso,3034
2012,Q2,Science and intellection professions,Goiás,2748
2012,Q2,Science and intellection professions,Distrito Federal,6210
2012,Q2,Midlevel technicians and professionals,Rondônia,1755
2012,Q2,Midlevel technicians and professionals,Acre,1811
2012,Q2,Midlevel technicians and professionals,Amazonas,1624
2012,Q2,Midlevel technicians and professionals,Roraima,1662
2012,Q2,Midlevel technicians and professionals,Pará,1741
2012,Q2,Midlevel technicians and professionals,Amapá,1635
2012,Q2,Midlevel technicians and professionals,Tocantins,1617
2012,Q2,Midlevel technicians and professionals,Maranhão,1164
2012,Q2,Midlevel technicians and professionals,Piauí,1456
2012,Q2,Midlevel technicians and professionals,Ceará,1364
2012,Q2,Midlevel technicians and professionals,Rio Grande do Norte,1418
2012,Q2,Midlevel technicians and professionals,Paraíba,1352
2012,Q2,Midlevel technicians and professionals,Pernambuco,1954
2012,Q2,Midlevel technicians and professionals,Alagoas,1417
2012,Q2,Midlevel technicians and professionals,Sergipe,1985
2012,Q2,Midlevel technicians and professionals,Bahia,1829
2012,Q2,Midlevel technicians and professionals,Minas Gerais,1710
2012,Q2,Midlevel technicians and professionals,Espírito Santo,1890
2012,Q2,Midlevel technicians and professionals,Rio de Janeiro,1921
2012,Q2,Midlevel technicians and professionals,São Paulo,2218
2012,Q2,Midlevel technicians and professionals,Paraná,1901
2012,Q2,Midlevel technicians and professionals,Santa Catarina,1884
2012,Q2,Midlevel technicians and professionals,Rio Grande do Sul,2026
2012,Q2,Midlevel technicians and professionals,Mato Grosso do Sul,1665
2012,Q2,Midlevel technicians and professionals,Mato Grosso,1903
2012,Q2,Midlevel technicians and professionals,Goiás,1836
2012,Q2,Midlevel technicians and professionals,Distrito Federal,3137
2012,Q2,Administrative support workers,Rondônia,1233
2012,Q2,Administrative support workers,Acre,1253
2012,Q2,Administrative support workers,Amazonas,1116
2012,Q2,Administrative support workers,Roraima,1284
2012,Q2,Administrative support workers,Pará,1023
2012,Q2,Administrative support workers,Amapá,1415
2012,Q2,Administrative support workers,Tocantins,1188
2012,Q2,Administrative support workers,Maranhão,854
2012,Q2,Administrative support workers,Piauí,1088
2012,Q2,Administrative support workers,Ceará,930
2012,Q2,Administrative support workers,Rio Grande do Norte,1006
2012,Q2,Administrative support workers,Paraíba,996
2012,Q2,Administrative support workers,Pernambuco,1192
2012,Q2,Administrative support workers,Alagoas,1089
2012,Q2,Administrative support workers,Sergipe,1064
2012,Q2,Administrative support workers,Bahia,1023
2012,Q2,Administrative support workers,Minas Gerais,998
2012,Q2,Administrative support workers,Espírito Santo,1047
2012,Q2,Administrative support workers,Rio de Janeiro,1263
2012,Q2,Administrative support workers,São Paulo,1350
2012,Q2,Administrative support workers,Paraná,1248
2012,Q2,Administrative support workers,Santa Catarina,1239
2012,Q2,Administrative support workers,Rio Grande do Sul,1329
2012,Q2,Administrative support workers,Mato Grosso do Sul,1118
2012,Q2,Administrative support workers,Mato Grosso,1228
2012,Q2,Administrative support workers,Goiás,1123
2012,Q2,Administrative support workers,Distrito Federal,2100
2012,Q2,"Service workers, sellers of trades and markets",Rondônia,1040
2012,Q2,"Service workers, sellers of trades and markets",Acre,965
2012,Q2,"Service workers, sellers of trades and markets",Amazonas,1032
2012,Q2,"Service workers, sellers of trades and markets",Roraima,1205
2012,Q2,"Service workers, sellers of trades and markets",Pará,833
2012,Q2,"Service workers, sellers of trades and markets",Amapá,1064
2012,Q2,"Service workers, sellers of trades and markets",Tocantins,1007
2012,Q2,"Service workers, sellers of trades and markets",Maranhão,830
2012,Q2,"Service workers, sellers of trades and markets",Piauí,790
2012,Q2,"Service workers, sellers of trades and markets",Ceará,870
2012,Q2,"Service workers, sellers of trades and markets",Rio Grande do Norte,903
2012,Q2,"Service workers, sellers of trades and markets",Paraíba,770
2012,Q2,"Service workers, sellers of trades and markets",Pernambuco,961
2012,Q2,"Service workers, sellers of trades and markets",Alagoas,873
2012,Q2,"Service workers, sellers of trades and markets",Sergipe,854
2012,Q2,"Service workers, sellers of trades and markets",Bahia,749
2012,Q2,"Service workers, sellers of trades and markets",Minas Gerais,950
2012,Q2,"Service workers, sellers of trades and markets",Espírito Santo,1137
2012,Q2,"Service workers, sellers of trades and markets",Rio de Janeiro,1054
2012,Q2,"Service workers, sellers of trades and markets",São Paulo,1231
2012,Q2,"Service workers, sellers of trades and markets",Paraná,1228
2012,Q2,"Service workers, sellers of trades and markets",Santa Catarina,1276
2012,Q2,"Service workers, sellers of trades and markets",Rio Grande do Sul,1118
2012,Q2,"Service workers, sellers of trades and markets",Mato Grosso do Sul,976
2012,Q2,"Service workers, sellers of trades and markets",Mato Grosso,1100
2012,Q2,"Service workers, sellers of trades and markets",Goiás,1254
2012,Q2,"Service workers, sellers of trades and markets",Distrito Federal,1517
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Rondônia,865
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Acre,714
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Amazonas,431
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Roraima,715
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Pará,562
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Amapá,516
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Tocantins,850
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Maranhão,328
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Piauí,210
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Ceará,291
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Rio Grande do Norte,415
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Paraíba,304
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Pernambuco,404
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Alagoas,549
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Sergipe,488
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Bahia,501
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Minas Gerais,1124
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Espírito Santo,1060
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Rio de Janeiro,1018
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",São Paulo,1433
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Paraná,1331
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Santa Catarina,1293
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Rio Grande do Sul,1217
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Mato Grosso do Sul,1530
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Mato Grosso,1480
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Goiás,1527
2012,Q2,"Skilled workers in agriculture, forestry, hunting and fishing",Distrito Federal,1090
2012,Q2,"Skilled workers, construction workers and artisans, mechanics and other crafts",Rondônia,1082
2012,Q2,"Skilled workers, construction workers and artisans, mechanics and other crafts",Acre,997
